mode,stage_index,kernel,rank,reason,value
library_cub_device_select,5,"DeviceSelectSweepKernel<detail::device_select_policy_hub<int, NullType, int, 0, 0>::Policy900, const int *, NullType *, int *, int *, ScanTileState<int, 1>, <unnamed>::KeepThresholdPredicate, NullType, int, 0, 0>",1,barrier,11.032138
library_cub_device_select,5,"DeviceSelectSweepKernel<detail::device_select_policy_hub<int, NullType, int, 0, 0>::Policy900, const int *, NullType *, int *, int *, ScanTileState<int, 1>, <unnamed>::KeepThresholdPredicate, NullType, int, 0, 0>",2,long_scoreboard,8.373548
library_cub_device_select,5,"DeviceSelectSweepKernel<detail::device_select_policy_hub<int, NullType, int, 0, 0>::Policy900, const int *, NullType *, int *, int *, ScanTileState<int, 1>, <unnamed>::KeepThresholdPredicate, NullType, int, 0, 0>",3,mio_throttle,4.713342
library_cub_device_select,5,"DeviceSelectSweepKernel<detail::device_select_policy_hub<int, NullType, int, 0, 0>::Policy900, const int *, NullType *, int *, int *, ScanTileState<int, 1>, <unnamed>::KeepThresholdPredicate, NullType, int, 0, 0>",4,lg_throttle,4.140816
library_cub_device_select,5,"DeviceSelectSweepKernel<detail::device_select_policy_hub<int, NullType, int, 0, 0>::Policy900, const int *, NullType *, int *, int *, ScanTileState<int, 1>, <unnamed>::KeepThresholdPredicate, NullType, int, 0, 0>",5,wait,1.772779
library_cub_device_select,6,"DeviceCompactInitKernel<ScanTileState<int, 1>, int *>",1,no_instruction,17.96319
library_cub_device_select,6,"DeviceCompactInitKernel<ScanTileState<int, 1>, int *>",2,short_scoreboard,9.533742
library_cub_device_select,6,"DeviceCompactInitKernel<ScanTileState<int, 1>, int *>",3,wait,2.423313
library_cub_device_select,6,"DeviceCompactInitKernel<ScanTileState<int, 1>, int *>",4,drain,1.165644
library_cub_device_select,6,"DeviceCompactInitKernel<ScanTileState<int, 1>, int *>",5,selected,1.0
library_cub_device_select,7,"DeviceSelectSweepKernel<detail::device_select_policy_hub<int, NullType, int, 0, 0>::Policy900, const int *, NullType *, int *, int *, ScanTileState<int, 1>, <unnamed>::KeepThresholdPredicate, NullType, int, 0, 0>",1,barrier,12.309502
library_cub_device_select,7,"DeviceSelectSweepKernel<detail::device_select_policy_hub<int, NullType, int, 0, 0>::Policy900, const int *, NullType *, int *, int *, ScanTileState<int, 1>, <unnamed>::KeepThresholdPredicate, NullType, int, 0, 0>",2,long_scoreboard,8.346483
library_cub_device_select,7,"DeviceSelectSweepKernel<detail::device_select_policy_hub<int, NullType, int, 0, 0>::Policy900, const int *, NullType *, int *, int *, ScanTileState<int, 1>, <unnamed>::KeepThresholdPredicate, NullType, int, 0, 0>",3,mio_throttle,4.910453
library_cub_device_select,7,"DeviceSelectSweepKernel<detail::device_select_policy_hub<int, NullType, int, 0, 0>::Policy900, const int *, NullType *, int *, int *, ScanTileState<int, 1>, <unnamed>::KeepThresholdPredicate, NullType, int, 0, 0>",4,lg_throttle,3.965037
library_cub_device_select,7,"DeviceSelectSweepKernel<detail::device_select_policy_hub<int, NullType, int, 0, 0>::Policy900, const int *, NullType *, int *, int *, ScanTileState<int, 1>, <unnamed>::KeepThresholdPredicate, NullType, int, 0, 0>",5,wait,1.77656
library_cub_device_select,8,"DeviceCompactInitKernel<ScanTileState<int, 1>, int *>",1,no_instruction,18.110429
library_cub_device_select,8,"DeviceCompactInitKernel<ScanTileState<int, 1>, int *>",2,short_scoreboard,9.288344
library_cub_device_select,8,"DeviceCompactInitKernel<ScanTileState<int, 1>, int *>",3,wait,2.423313
library_cub_device_select,8,"DeviceCompactInitKernel<ScanTileState<int, 1>, int *>",4,drain,1.171779
library_cub_device_select,8,"DeviceCompactInitKernel<ScanTileState<int, 1>, int *>",5,selected,1.0
library_cub_device_select,9,"DeviceSelectSweepKernel<detail::device_select_policy_hub<int, NullType, int, 0, 0>::Policy900, const int *, NullType *, int *, int *, ScanTileState<int, 1>, <unnamed>::KeepThresholdPredicate, NullType, int, 0, 0>",1,barrier,11.426268
library_cub_device_select,9,"DeviceSelectSweepKernel<detail::device_select_policy_hub<int, NullType, int, 0, 0>::Policy900, const int *, NullType *, int *, int *, ScanTileState<int, 1>, <unnamed>::KeepThresholdPredicate, NullType, int, 0, 0>",2,long_scoreboard,8.82803
library_cub_device_select,9,"DeviceSelectSweepKernel<detail::device_select_policy_hub<int, NullType, int, 0, 0>::Policy900, const int *, NullType *, int *, int *, ScanTileState<int, 1>, <unnamed>::KeepThresholdPredicate, NullType, int, 0, 0>",3,mio_throttle,4.819268
library_cub_device_select,9,"DeviceSelectSweepKernel<detail::device_select_policy_hub<int, NullType, int, 0, 0>::Policy900, const int *, NullType *, int *, int *, ScanTileState<int, 1>, <unnamed>::KeepThresholdPredicate, NullType, int, 0, 0>",4,lg_throttle,4.139741
library_cub_device_select,9,"DeviceSelectSweepKernel<detail::device_select_policy_hub<int, NullType, int, 0, 0>::Policy900, const int *, NullType *, int *, int *, ScanTileState<int, 1>, <unnamed>::KeepThresholdPredicate, NullType, int, 0, 0>",5,wait,1.779261
library_cub_device_select,10,"DeviceCompactInitKernel<ScanTileState<int, 1>, int *>",1,no_instruction,18.06135
library_cub_device_select,10,"DeviceCompactInitKernel<ScanTileState<int, 1>, int *>",2,short_scoreboard,9.288344
library_cub_device_select,10,"DeviceCompactInitKernel<ScanTileState<int, 1>, int *>",3,wait,2.423313
library_cub_device_select,10,"DeviceCompactInitKernel<ScanTileState<int, 1>, int *>",4,drain,1.165644
library_cub_device_select,10,"DeviceCompactInitKernel<ScanTileState<int, 1>, int *>",5,selected,1.0
library_cub_device_select,11,"DeviceSelectSweepKernel<detail::device_select_policy_hub<int, NullType, int, 0, 0>::Policy900, const int *, NullType *, int *, int *, ScanTileState<int, 1>, <unnamed>::KeepThresholdPredicate, NullType, int, 0, 0>",1,barrier,10.363645
library_cub_device_select,11,"DeviceSelectSweepKernel<detail::device_select_policy_hub<int, NullType, int, 0, 0>::Policy900, const int *, NullType *, int *, int *, ScanTileState<int, 1>, <unnamed>::KeepThresholdPredicate, NullType, int, 0, 0>",2,long_scoreboard,9.089406
library_cub_device_select,11,"DeviceSelectSweepKernel<detail::device_select_policy_hub<int, NullType, int, 0, 0>::Policy900, const int *, NullType *, int *, int *, ScanTileState<int, 1>, <unnamed>::KeepThresholdPredicate, NullType, int, 0, 0>",3,mio_throttle,4.545225
library_cub_device_select,11,"DeviceSelectSweepKernel<detail::device_select_policy_hub<int, NullType, int, 0, 0>::Policy900, const int *, NullType *, int *, int *, ScanTileState<int, 1>, <unnamed>::KeepThresholdPredicate, NullType, int, 0, 0>",4,lg_throttle,3.995937
library_cub_device_select,11,"DeviceSelectSweepKernel<detail::device_select_policy_hub<int, NullType, int, 0, 0>::Policy900, const int *, NullType *, int *, int *, ScanTileState<int, 1>, <unnamed>::KeepThresholdPredicate, NullType, int, 0, 0>",5,wait,1.775417
library_cub_device_select,12,"DeviceCompactInitKernel<ScanTileState<int, 1>, int *>",1,no_instruction,17.91411
library_cub_device_select,12,"DeviceCompactInitKernel<ScanTileState<int, 1>, int *>",2,short_scoreboard,9.288344
library_cub_device_select,12,"DeviceCompactInitKernel<ScanTileState<int, 1>, int *>",3,wait,2.423313
library_cub_device_select,12,"DeviceCompactInitKernel<ScanTileState<int, 1>, int *>",4,drain,1.171779
library_cub_device_select,12,"DeviceCompactInitKernel<ScanTileState<int, 1>, int *>",5,selected,1.0
library_cub_device_select,13,"DeviceSelectSweepKernel<detail::device_select_policy_hub<int, NullType, int, 0, 0>::Policy900, const int *, NullType *, int *, int *, ScanTileState<int, 1>, <unnamed>::KeepThresholdPredicate, NullType, int, 0, 0>",1,barrier,12.839389
library_cub_device_select,13,"DeviceSelectSweepKernel<detail::device_select_policy_hub<int, NullType, int, 0, 0>::Policy900, const int *, NullType *, int *, int *, ScanTileState<int, 1>, <unnamed>::KeepThresholdPredicate, NullType, int, 0, 0>",2,long_scoreboard,8.717931
library_cub_device_select,13,"DeviceSelectSweepKernel<detail::device_select_policy_hub<int, NullType, int, 0, 0>::Policy900, const int *, NullType *, int *, int *, ScanTileState<int, 1>, <unnamed>::KeepThresholdPredicate, NullType, int, 0, 0>",3,mio_throttle,4.638587
library_cub_device_select,13,"DeviceSelectSweepKernel<detail::device_select_policy_hub<int, NullType, int, 0, 0>::Policy900, const int *, NullType *, int *, int *, ScanTileState<int, 1>, <unnamed>::KeepThresholdPredicate, NullType, int, 0, 0>",4,lg_throttle,3.578236
library_cub_device_select,13,"DeviceSelectSweepKernel<detail::device_select_policy_hub<int, NullType, int, 0, 0>::Policy900, const int *, NullType *, int *, int *, ScanTileState<int, 1>, <unnamed>::KeepThresholdPredicate, NullType, int, 0, 0>",5,wait,1.773421
library_cub_device_select,14,"DeviceCompactInitKernel<ScanTileState<int, 1>, int *>",1,no_instruction,18.110429
library_cub_device_select,14,"DeviceCompactInitKernel<ScanTileState<int, 1>, int *>",2,short_scoreboard,9.484663
library_cub_device_select,14,"DeviceCompactInitKernel<ScanTileState<int, 1>, int *>",3,wait,2.423313
library_cub_device_select,14,"DeviceCompactInitKernel<ScanTileState<int, 1>, int *>",4,drain,1.165644
library_cub_device_select,14,"DeviceCompactInitKernel<ScanTileState<int, 1>, int *>",5,selected,1.0
library_cub_device_select,15,"DeviceSelectSweepKernel<detail::device_select_policy_hub<int, NullType, int, 0, 0>::Policy900, const int *, NullType *, int *, int *, ScanTileState<int, 1>, <unnamed>::KeepThresholdPredicate, NullType, int, 0, 0>",1,barrier,9.90501
library_cub_device_select,15,"DeviceSelectSweepKernel<detail::device_select_policy_hub<int, NullType, int, 0, 0>::Policy900, const int *, NullType *, int *, int *, ScanTileState<int, 1>, <unnamed>::KeepThresholdPredicate, NullType, int, 0, 0>",2,long_scoreboard,9.082855
library_cub_device_select,15,"DeviceSelectSweepKernel<detail::device_select_policy_hub<int, NullType, int, 0, 0>::Policy900, const int *, NullType *, int *, int *, ScanTileState<int, 1>, <unnamed>::KeepThresholdPredicate, NullType, int, 0, 0>",3,mio_throttle,4.752332
library_cub_device_select,15,"DeviceSelectSweepKernel<detail::device_select_policy_hub<int, NullType, int, 0, 0>::Policy900, const int *, NullType *, int *, int *, ScanTileState<int, 1>, <unnamed>::KeepThresholdPredicate, NullType, int, 0, 0>",4,lg_throttle,4.744535
library_cub_device_select,15,"DeviceSelectSweepKernel<detail::device_select_policy_hub<int, NullType, int, 0, 0>::Policy900, const int *, NullType *, int *, int *, ScanTileState<int, 1>, <unnamed>::KeepThresholdPredicate, NullType, int, 0, 0>",5,wait,1.777788
