status,mode,batch_size,n,avg_ms,logical_gbps,total_count,csv,returncode,elapsed_s,error
PASS,library_cub_device_select,2,32,0.0035352,0.128988,32,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b2_n32_t0_p0.5_v4_flow_latest.csv,0,0.180,
PASS,v2,2,32,0.00850368,0.0536238,32,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b2_n32_t0_p0.5_v4_flow_latest.csv,0,0.197,
PASS,v3,2,32,0.008548,0.0533458,32,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b2_n32_t0_p0.5_v4_flow_latest.csv,0,0.188,
PASS,v4,2,32,0.00853072,0.0534539,32,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v4_b2_n32_t0_p0.5_v4_flow_latest.csv,0,0.191,
PASS,library_cub_device_select,2,256,0.00364224,0.967537,239,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b2_n256_t0_p0.5_v4_flow_latest.csv,0,0.200,
PASS,v2,2,256,0.00853088,0.413087,239,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b2_n256_t0_p0.5_v4_flow_latest.csv,0,0.200,
PASS,v3,2,256,0.00856336,0.411521,239,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b2_n256_t0_p0.5_v4_flow_latest.csv,0,0.203,
PASS,v4,2,256,0.00851952,0.413638,239,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v4_b2_n256_t0_p0.5_v4_flow_latest.csv,0,0.197,
PASS,library_cub_device_select,2,512,0.0034784,2.03887,491,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b2_n512_t0_p0.5_v4_flow_latest.csv,0,0.191,
PASS,v2,2,512,0.0085224,0.83216,491,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b2_n512_t0_p0.5_v4_flow_latest.csv,0,0.195,
PASS,v3,2,512,0.00852224,0.832176,491,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b2_n512_t0_p0.5_v4_flow_latest.csv,0,0.199,
PASS,v4,2,512,0.00852048,0.832347,491,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v4_b2_n512_t0_p0.5_v4_flow_latest.csv,0,0.195,
PASS,library_cub_device_select,2,1024,0.00376944,3.78942,1009,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b2_n1024_t0_p0.5_v4_flow_latest.csv,0,0.188,
PASS,v2,2,1024,0.00853008,1.67454,1009,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b2_n1024_t0_p0.5_v4_flow_latest.csv,0,0.191,
PASS,v3,2,1024,0.00856384,1.66794,1009,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b2_n1024_t0_p0.5_v4_flow_latest.csv,0,0.204,
