category,status,reason,mode,batch_size,n,threshold,keep_prob,total_elements,total_count,iters,avg_ms,logical_gbps,csv
daily_selectivity,PASS,,v3,1,131072,0,0.01,131072,65918,100,0.00901056,101.995,reports/benchmark/extended_matrix/daily_selectivity_v3_b1_n131072_t0_p0.01.csv
daily_selectivity,PASS,,v4,1,131072,0,0.01,131072,65918,100,0.0105094,87.4486,reports/benchmark/extended_matrix/daily_selectivity_v4_b1_n131072_t0_p0.01.csv
daily_selectivity,PASS,,library_cub,1,131072,0,0.01,131072,65918,100,0.00616576,149.055,reports/benchmark/extended_matrix/daily_selectivity_library_cub_b1_n131072_t0_p0.01.csv
daily_selectivity,PASS,,v3,1,131072,0,0.1,131072,65918,100,0.00896768,102.483,reports/benchmark/extended_matrix/daily_selectivity_v3_b1_n131072_t0_p0.1.csv
daily_selectivity,PASS,,v4,1,131072,0,0.1,131072,65918,100,0.010576,86.8983,reports/benchmark/extended_matrix/daily_selectivity_v4_b1_n131072_t0_p0.1.csv
daily_selectivity,PASS,,library_cub,1,131072,0,0.1,131072,65918,100,0.00620384,148.14,reports/benchmark/extended_matrix/daily_selectivity_library_cub_b1_n131072_t0_p0.1.csv
daily_selectivity,PASS,,v3,1,131072,0,0.5,131072,65918,100,0.00901952,101.894,reports/benchmark/extended_matrix/daily_selectivity_v3_b1_n131072_t0_p0.5.csv
daily_selectivity,PASS,,v4,1,131072,0,0.5,131072,65918,100,0.0105024,87.5072,reports/benchmark/extended_matrix/daily_selectivity_v4_b1_n131072_t0_p0.5.csv
daily_selectivity,PASS,,library_cub,1,131072,0,0.5,131072,65918,100,0.00619232,148.415,reports/benchmark/extended_matrix/daily_selectivity_library_cub_b1_n131072_t0_p0.5.csv
daily_selectivity,PASS,,v3,1,131072,0,0.9,131072,65918,100,0.0089952,102.17,reports/benchmark/extended_matrix/daily_selectivity_v3_b1_n131072_t0_p0.9.csv
daily_selectivity,PASS,,v4,1,131072,0,0.9,131072,65918,100,0.0104656,87.8149,reports/benchmark/extended_matrix/daily_selectivity_v4_b1_n131072_t0_p0.9.csv
daily_selectivity,PASS,,library_cub,1,131072,0,0.9,131072,65918,100,0.00618272,148.646,reports/benchmark/extended_matrix/daily_selectivity_library_cub_b1_n131072_t0_p0.9.csv
daily_selectivity,PASS,,v3,1,131072,0,0.99,131072,65918,100,0.00896,102.571,reports/benchmark/extended_matrix/daily_selectivity_v3_b1_n131072_t0_p0.99.csv
daily_selectivity,PASS,,v4,1,131072,0,0.99,131072,65918,100,0.010553,87.088,reports/benchmark/extended_matrix/daily_selectivity_v4_b1_n131072_t0_p0.99.csv
daily_selectivity,PASS,,library_cub,1,131072,0,0.99,131072,65918,100,0.00621376,147.903,reports/benchmark/extended_matrix/daily_selectivity_library_cub_b1_n131072_t0_p0.99.csv
daily_selectivity,PASS,,v3,1,1048576,0,0.01,1048576,528812,100,0.0190998,385.246,reports/benchmark/extended_matrix/daily_selectivity_v3_b1_n1048576_t0_p0.01.csv
daily_selectivity,PASS,,v4,1,1048576,0,0.01,1048576,528812,100,0.0190938,385.368,reports/benchmark/extended_matrix/daily_selectivity_v4_b1_n1048576_t0_p0.01.csv
daily_selectivity,PASS,,library_cub,1,1048576,0,0.01,1048576,528812,100,0.0102656,716.776,reports/benchmark/extended_matrix/daily_selectivity_library_cub_b1_n1048576_t0_p0.01.csv
daily_selectivity,PASS,,v3,1,1048576,0,0.1,1048576,528812,100,0.0190944,385.355,reports/benchmark/extended_matrix/daily_selectivity_v3_b1_n1048576_t0_p0.1.csv
daily_selectivity,PASS,,v4,1,1048576,0,0.1,1048576,528812,100,0.0190838,385.569,reports/benchmark/extended_matrix/daily_selectivity_v4_b1_n1048576_t0_p0.1.csv
daily_selectivity,PASS,,library_cub,1,1048576,0,0.1,1048576,528812,100,0.0103731,709.346,reports/benchmark/extended_matrix/daily_selectivity_library_cub_b1_n1048576_t0_p0.1.csv
daily_selectivity,PASS,,v3,1,1048576,0,0.5,1048576,528812,100,0.0191091,385.059,reports/benchmark/extended_matrix/daily_selectivity_v3_b1_n1048576_t0_p0.5.csv
daily_selectivity,PASS,,v4,1,1048576,0,0.5,1048576,528812,100,0.0191219,384.801,reports/benchmark/extended_matrix/daily_selectivity_v4_b1_n1048576_t0_p0.5.csv
daily_selectivity,PASS,,library_cub,1,1048576,0,0.5,1048576,528812,100,0.0102589,717.245,reports/benchmark/extended_matrix/daily_selectivity_library_cub_b1_n1048576_t0_p0.5.csv
daily_selectivity,PASS,,v3,1,1048576,0,0.9,1048576,528812,100,0.0191014,385.213,reports/benchmark/extended_matrix/daily_selectivity_v3_b1_n1048576_t0_p0.9.csv
daily_selectivity,PASS,,v4,1,1048576,0,0.9,1048576,528812,100,0.0191069,385.104,reports/benchmark/extended_matrix/daily_selectivity_v4_b1_n1048576_t0_p0.9.csv
daily_selectivity,PASS,,library_cub,1,1048576,0,0.9,1048576,528812,100,0.0102653,716.798,reports/benchmark/extended_matrix/daily_selectivity_library_cub_b1_n1048576_t0_p0.9.csv
daily_selectivity,PASS,,v3,1,1048576,0,0.99,1048576,528812,100,0.0191072,385.097,reports/benchmark/extended_matrix/daily_selectivity_v3_b1_n1048576_t0_p0.99.csv
daily_selectivity,PASS,,v4,1,1048576,0,0.99,1048576,528812,100,0.0190941,385.362,reports/benchmark/extended_matrix/daily_selectivity_v4_b1_n1048576_t0_p0.99.csv
daily_selectivity,PASS,,library_cub,1,1048576,0,0.99,1048576,528812,100,0.010265,716.82,reports/benchmark/extended_matrix/daily_selectivity_library_cub_b1_n1048576_t0_p0.99.csv
daily_selectivity,PASS,,v3,2,1024,0,0.01,2048,1009,100,0.00889152,1.60647,reports/benchmark/extended_matrix/daily_selectivity_v3_b2_n1024_t0_p0.01.csv
daily_selectivity,PASS,,v4,2,1024,0,0.01,2048,1009,100,0.00893344,1.59894,reports/benchmark/extended_matrix/daily_selectivity_v4_b2_n1024_t0_p0.01.csv
daily_selectivity,PASS,,library_cub,2,1024,0,0.01,2048,1009,100,0.0029632,4.82046,reports/benchmark/extended_matrix/daily_selectivity_library_cub_b2_n1024_t0_p0.01.csv
daily_selectivity,PASS,,v3,2,1024,0,0.1,2048,1009,100,0.00884352,1.61519,reports/benchmark/extended_matrix/daily_selectivity_v3_b2_n1024_t0_p0.1.csv
daily_selectivity,PASS,,v4,2,1024,0,0.1,2048,1009,100,0.00886848,1.61065,reports/benchmark/extended_matrix/daily_selectivity_v4_b2_n1024_t0_p0.1.csv
daily_selectivity,PASS,,library_cub,2,1024,0,0.1,2048,1009,100,0.0028816,4.95697,reports/benchmark/extended_matrix/daily_selectivity_library_cub_b2_n1024_t0_p0.1.csv
daily_selectivity,PASS,,v3,2,1024,0,0.5,2048,1009,100,0.0088032,1.62259,reports/benchmark/extended_matrix/daily_selectivity_v3_b2_n1024_t0_p0.5.csv
daily_selectivity,PASS,,v4,2,1024,0,0.5,2048,1009,100,0.0088928,1.60624,reports/benchmark/extended_matrix/daily_selectivity_v4_b2_n1024_t0_p0.5.csv
daily_selectivity,PASS,,library_cub,2,1024,0,0.5,2048,1009,100,0.00309536,4.61465,reports/benchmark/extended_matrix/daily_selectivity_library_cub_b2_n1024_t0_p0.5.csv
daily_selectivity,PASS,,v3,2,1024,0,0.9,2048,1009,100,0.0088272,1.61818,reports/benchmark/extended_matrix/daily_selectivity_v3_b2_n1024_t0_p0.9.csv
daily_selectivity,PASS,,v4,2,1024,0,0.9,2048,1009,100,0.0089184,1.60163,reports/benchmark/extended_matrix/daily_selectivity_v4_b2_n1024_t0_p0.9.csv
daily_selectivity,PASS,,library_cub,2,1024,0,0.9,2048,1009,100,0.00291232,4.90468,reports/benchmark/extended_matrix/daily_selectivity_library_cub_b2_n1024_t0_p0.9.csv
daily_selectivity,PASS,,v3,2,1024,0,0.99,2048,1009,100,0.00884768,1.61443,reports/benchmark/extended_matrix/daily_selectivity_v3_b2_n1024_t0_p0.99.csv
daily_selectivity,PASS,,v4,2,1024,0,0.99,2048,1009,100,0.0089232,1.60077,reports/benchmark/extended_matrix/daily_selectivity_v4_b2_n1024_t0_p0.99.csv
daily_selectivity,PASS,,library_cub,2,1024,0,0.99,2048,1009,100,0.00295168,4.83928,reports/benchmark/extended_matrix/daily_selectivity_library_cub_b2_n1024_t0_p0.99.csv
