status,mode,batch_size,n,total_elements,threshold,keep_prob,total_count,iters,avg_ms,logical_gbps,csv
PASS,v3,2,256,512,0,0.5,239,500,0.0083401,0.422537,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b2_n256_t0_p0.5_v3_domain_latest.csv
PASS,library_cub_device_select,2,512,1024,0,0.5,491,500,0.00829818,0.854646,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b2_n512_t0_p0.5_v3_domain_latest.csv
PASS,v1,2,512,1024,0,0.5,491,500,0.00846246,0.838054,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b2_n512_t0_p0.5_v3_domain_latest.csv
PASS,v2,2,512,1024,0,0.5,491,500,0.00833843,0.85052,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b2_n512_t0_p0.5_v3_domain_latest.csv
PASS,v3,2,512,1024,0,0.5,491,500,0.00834445,0.849906,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b2_n512_t0_p0.5_v3_domain_latest.csv
PASS,library_cub_device_select,2,1024,2048,0,0.5,1009,500,0.00833088,1.71458,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b2_n1024_t0_p0.5_v3_domain_latest.csv
PASS,v1,2,1024,2048,0,0.5,1009,500,0.00839635,1.70122,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b2_n1024_t0_p0.5_v3_domain_latest.csv
PASS,v2,2,1024,2048,0,0.5,1009,500,0.00836646,1.70729,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b2_n1024_t0_p0.5_v3_domain_latest.csv
PASS,v3,2,1024,2048,0,0.5,1009,500,0.00835514,1.70961,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b2_n1024_t0_p0.5_v3_domain_latest.csv
PASS,library_cub_device_select,2,8192,16384,0,0.5,8260,500,0.00832058,13.8173,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b2_n8192_t0_p0.5_v3_domain_latest.csv
PASS,v1,2,8192,16384,0,0.5,8260,500,0.00833094,13.8001,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b2_n8192_t0_p0.5_v3_domain_latest.csv
PASS,v2,2,8192,16384,0,0.5,8260,500,0.00833696,13.7902,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b2_n8192_t0_p0.5_v3_domain_latest.csv
PASS,v3,2,8192,16384,0,0.5,8260,500,0.0083191,13.8198,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b2_n8192_t0_p0.5_v3_domain_latest.csv
PASS,library_cub_device_select,3,32,96,0,0.5,48,500,0.0102472,0.0667502,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b3_n32_t0_p0.5_v3_domain_latest.csv
PASS,v1,3,32,96,0,0.5,48,500,0.00837229,0.0816981,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b3_n32_t0_p0.5_v3_domain_latest.csv
PASS,v2,3,32,96,0,0.5,48,500,0.00831718,0.0822394,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b3_n32_t0_p0.5_v3_domain_latest.csv
PASS,v3,3,32,96,0,0.5,48,500,0.00835501,0.0818671,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b3_n32_t0_p0.5_v3_domain_latest.csv
PASS,library_cub_device_select,3,256,768,0,0.5,373,500,0.0102796,0.519867,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b3_n256_t0_p0.5_v3_domain_latest.csv
PASS,v1,3,256,768,0,0.5,373,500,0.00843322,0.633685,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b3_n256_t0_p0.5_v3_domain_latest.csv
PASS,v2,3,256,768,0,0.5,373,500,0.00831917,0.642372,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b3_n256_t0_p0.5_v3_domain_latest.csv
PASS,v3,3,256,768,0,0.5,373,500,0.00838918,0.637011,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b3_n256_t0_p0.5_v3_domain_latest.csv
PASS,library_cub_device_select,3,512,1536,0,0.5,752,500,0.0112793,0.948641,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b3_n512_t0_p0.5_v3_domain_latest.csv
PASS,v1,3,512,1536,0,0.5,752,500,0.00843558,1.26844,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b3_n512_t0_p0.5_v3_domain_latest.csv
PASS,v2,3,512,1536,0,0.5,752,500,0.00832346,1.28552,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b3_n512_t0_p0.5_v3_domain_latest.csv
PASS,v3,3,512,1536,0,0.5,752,500,0.00833485,1.28377,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b3_n512_t0_p0.5_v3_domain_latest.csv
PASS,library_cub_device_select,3,1024,3072,0,0.5,1508,500,0.0108241,1.97743,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b3_n1024_t0_p0.5_v3_domain_latest.csv
PASS,v1,3,1024,3072,0,0.5,1508,500,0.00842611,2.5402,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b3_n1024_t0_p0.5_v3_domain_latest.csv
PASS,v2,3,1024,3072,0,0.5,1508,500,0.00874848,2.4466,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b3_n1024_t0_p0.5_v3_domain_latest.csv
PASS,v3,3,1024,3072,0,0.5,1508,500,0.00838336,2.55315,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b3_n1024_t0_p0.5_v3_domain_latest.csv
PASS,library_cub_device_select,3,8192,24576,0,0.5,12445,500,0.011417,15.1242,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b3_n8192_t0_p0.5_v3_domain_latest.csv
